epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
107,41696,0.05,0.005,0.195,0.342,0.268,0.074,0.176,0.336,0.208,0.103,0.131
108,41712,0.048,0.003,0.19,0.251,0.318,0.109,0.18,0.339,0.283,0.086,0.074
109,41728,0.049,0.003,0.168,0.303,0.237,0.081,0.196,0.298,0.209,0.102,0.152
110,41744,0.047,0.003,0.154,0.492,0.188,0.056,0.22,0.418,0.16,0.11,0.073
111,41760,0.046,0.003,0.118,0.446,0.282,0.094,0.189,0.375,0.248,0.084,0.097
112,41776,0.051,0.005,0.194,0.578,0.229,0.083,0.211,0.325,0.226,0.09,0.047
113,41792,0.046,0.004,0.185,0.413,0.274,0.087,0.223,0.333,0.228,0.086,0.082
114,41808,0.051,0.003,0.186,0.321,0.359,0.106,0.255,0.344,0.289,0.104,0.085
115,41824,0.052,0.003,0.161,0.289,0.321,0.097,0.213,0.349,0.25,0.069,0.057
116,41840,0.047,0.005,0.219,0.516,0.371,0.103,0.271,0.311,0.282,0.124,0.139
117,41856,0.047,0.004,0.177,0.446,0.308,0.086,0.195,0.438,0.233,0.133,0.097
118,41872,0.049,0.003,0.178,0.513,0.242,0.058,0.197,0.383,0.162,0.098,0.152
119,41888,0.053,0.003,0.126,0.446,0.277,0.067,0.144,0.423,0.207,0.112,0.089
120,41904,0.046,0.004,0.165,0.41,0.274,0.084,0.184,0.355,0.233,0.149,0.107
121,41920,0.049,0.004,0.129,0.582,0.255,0.055,0.178,0.383,0.177,0.126,0.08
122,41936,0.049,0.004,0.21,0.438,0.187,0.054,0.212,0.362,0.148,0.159,0.181
123,41952,0.052,0.004,0.215,0.46,0.307,0.083,0.182,0.41,0.223,0.107,0.064
124,41968,0.047,0.003,0.12,0.4,0.327,0.124,0.166,0.388,0.296,0.097,0.087
125,41984,0.046,0.003,0.165,0.646,0.296,0.097,0.179,0.417,0.245,0.103,0.151
126,41600,0.053,0.003,0.171,0.483,0.3,0.077,0.18,0.334,0.237,0.166,0.148
127,41616,0.048,0.003,0.189,0.462,0.356,0.099,0.191,0.383,0.275,0.118,0.12
128,41632,0.052,0.003,0.174,0.411,0.244,0.06,0.204,0.323,0.191,0.153,0.179
129,41648,0.048,0.003,0.152,0.444,0.375,0.1,0.207,0.33,0.252,0.093,0.095
130,41664,0.051,0.004,0.157,0.432,0.288,0.086,0.183,0.334,0.225,0.109,0.199
