epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
2,33216,0.033,0.003,0.252,0.255,0.461,0.212,0.256,0.272,0.437,0.13,0.306
2,33616,0.033,0.003,0.259,0.27,0.472,0.183,0.255,0.268,0.387,0.129,0.171
2,34016,0.03,0.004,0.255,0.26,0.639,0.239,0.257,0.283,0.516,0.18,0.334
2,34416,0.032,0.003,0.253,0.271,0.625,0.243,0.256,0.269,0.483,0.147,0.391
2,34816,0.031,0.003,0.257,0.269,0.475,0.203,0.249,0.266,0.416,0.147,0.144
2,35216,0.032,0.003,0.254,0.255,0.425,0.202,0.255,0.266,0.433,0.135,0.254
2,35616,0.032,0.003,0.257,0.286,0.51,0.251,0.249,0.269,0.516,0.128,0.301
2,36016,0.032,0.003,0.254,0.26,0.524,0.194,0.253,0.278,0.402,0.118,0.263
2,36416,0.036,0.003,0.251,0.281,0.604,0.227,0.246,0.231,0.458,0.127,0.369
2,36816,0.035,0.003,0.252,0.254,0.504,0.223,0.261,0.246,0.464,0.145,0.293
2,37216,0.032,0.003,0.249,0.264,0.459,0.201,0.254,0.227,0.417,0.139,0.167
2,37616,0.032,0.003,0.251,0.245,0.447,0.222,0.251,0.253,0.447,0.125,0.155
2,38016,0.033,0.003,0.252,0.238,0.505,0.225,0.254,0.251,0.457,0.156,0.24
2,38416,0.033,0.004,0.253,0.236,0.569,0.222,0.248,0.269,0.446,0.155,0.32
2,38816,0.033,0.004,0.25,0.243,0.501,0.219,0.258,0.266,0.451,0.158,0.207
2,39216,0.032,0.003,0.255,0.252,0.437,0.204,0.255,0.255,0.416,0.144,0.238
2,39616,0.032,0.003,0.254,0.236,0.632,0.266,0.251,0.267,0.527,0.165,0.291
2,40016,0.033,0.003,0.259,0.261,0.627,0.254,0.257,0.271,0.504,0.153,0.339
2,40416,0.032,0.003,0.264,0.266,0.679,0.23,0.255,0.26,0.472,0.151,0.336
2,40816,0.033,0.003,0.252,0.292,0.531,0.211,0.253,0.249,0.431,0.158,0.237
2,41216,0.032,0.003,0.254,0.283,0.533,0.184,0.253,0.263,0.379,0.153,0.187
2,41616,0.032,0.003,0.256,0.286,0.483,0.223,0.258,0.248,0.447,0.129,0.363
3,32,0.032,0.003,0.254,0.261,0.556,0.241,0.258,0.267,0.471,0.16,0.311
3,432,0.036,0.002,0.256,0.271,0.528,0.216,0.25,0.266,0.457,0.147,0.274
3,832,0.036,0.002,0.254,0.244,0.385,0.189,0.255,0.261,0.384,0.11,0.202
3,1232,0.033,0.002,0.255,0.25,0.516,0.217,0.252,0.254,0.426,0.133,0.276
3,1632,0.036,0.002,0.256,0.229,0.588,0.178,0.255,0.271,0.363,0.125,0.252
3,2032,0.033,0.002,0.251,0.246,0.48,0.19,0.25,0.242,0.397,0.148,0.162
3,2432,0.034,0.003,0.255,0.237,0.433,0.213,0.249,0.254,0.444,0.114,0.209
3,2832,0.032,0.003,0.253,0.249,0.583,0.277,0.256,0.275,0.551,0.155,0.244
3,3232,0.032,0.003,0.251,0.243,0.525,0.232,0.248,0.25,0.469,0.126,0.343
3,3632,0.031,0.002,0.255,0.254,0.627,0.246,0.256,0.264,0.481,0.14,0.294
3,4032,0.037,0.003,0.254,0.26,0.45,0.199,0.256,0.259,0.404,0.137,0.267
3,4432,0.032,0.003,0.254,0.275,0.382,0.198,0.251,0.247,0.379,0.104,0.209
3,4832,0.037,0.003,0.253,0.249,0.458,0.172,0.252,0.256,0.36,0.123,0.152
3,5232,0.032,0.002,0.252,0.264,0.63,0.25,0.258,0.282,0.504,0.126,0.446
3,5632,0.031,0.003,0.252,0.268,0.57,0.236,0.252,0.267,0.478,0.141,0.215
3,6032,0.033,0.003,0.252,0.267,0.61,0.229,0.252,0.268,0.453,0.13,0.222
